entry_time,exit_time,direction,entry,exit,stop,target,pnl_points,pnl_ticks,pnl_dollars,exit_reason,risk,r_multiple
2025-12-15 09:25:00-05:00,2025-12-15 09:30:00-05:00,long,25382.25,25372.5,25372.5,25409.0625,-9.75,-39.0,-19.5,stop,9.75,-1.0
2025-12-18 10:15:00-05:00,2025-12-18 10:20:00-05:00,long,25196.25,25186.5,25186.5,25223.0625,-9.75,-39.0,-19.5,stop,9.75,-1.0
2025-12-19 08:40:00-05:00,2025-12-19 09:00:00-05:00,short,25329.5,25302.6875,25339.25,25302.6875,26.8125,107.25,53.625,target,9.75,2.75
2025-12-22 08:40:00-05:00,2025-12-22 09:05:00-05:00,long,25735.75,25762.5625,25726.0,25762.5625,26.8125,107.25,53.625,target,9.75,2.75
2025-12-23 07:35:00-05:00,2025-12-23 07:55:00-05:00,short,25673.25,25683.0,25683.0,25646.4375,-9.75,-39.0,-19.5,stop,9.75,-1.0
2025-12-26 11:25:00-05:00,2025-12-26 11:40:00-05:00,short,25879.5,25889.25,25889.25,25852.6875,-9.75,-39.0,-19.5,stop,9.75,-1.0
2025-12-31 09:35:00-05:00,2025-12-31 09:40:00-05:00,long,25666.5,25656.75,25656.75,25693.3125,-9.75,-39.0,-19.5,stop,9.75,-1.0
2025-12-31 10:30:00-05:00,2025-12-31 10:40:00-05:00,short,25602.25,25575.4375,25612.0,25575.4375,26.8125,107.25,53.625,target,9.75,2.75
2026-01-02 10:45:00-05:00,2026-01-02 10:50:00-05:00,short,25583.0,25556.1875,25592.75,25556.1875,26.8125,107.25,53.625,target,9.75,2.75
2026-01-05 09:40:00-05:00,2026-01-05 09:45:00-05:00,long,25568.75,25595.5625,25559.0,25595.5625,26.8125,107.25,53.625,target,9.75,2.75
2026-01-06 12:50:00-05:00,2026-01-06 13:05:00-05:00,long,25756.25,25746.5,25746.5,25783.0625,-9.75,-39.0,-19.5,stop,9.75,-1.0
2026-01-07 08:50:00-05:00,2026-01-07 09:05:00-05:00,long,25783.0,25773.25,25773.25,25809.8125,-9.75,-39.0,-19.5,stop,9.75,-1.0
2026-01-07 09:10:00-05:00,2026-01-07 09:30:00-05:00,long,25768.75,25795.5625,25759.0,25795.5625,26.8125,107.25,53.625,target,9.75,2.75
2026-01-07 10:05:00-05:00,2026-01-07 10:10:00-05:00,long,25842.0,25868.8125,25832.25,25868.8125,26.8125,107.25,53.625,target,9.75,2.75
2026-01-07 10:20:00-05:00,2026-01-07 10:25:00-05:00,long,25836.5,25863.3125,25826.75,25863.3125,26.8125,107.25,53.625,target,9.75,2.75
2026-01-07 10:40:00-05:00,2026-01-07 10:45:00-05:00,long,25851.25,25878.0625,25841.5,25878.0625,26.8125,107.25,53.625,target,9.75,2.75
2026-01-07 13:20:00-05:00,2026-01-07 13:25:00-05:00,long,25946.75,25937.0,25937.0,25973.5625,-9.75,-39.0,-19.5,stop,9.75,-1.0
2026-01-08 09:50:00-05:00,2026-01-08 09:55:00-05:00,short,25648.75,25658.5,25658.5,25621.9375,-9.75,-39.0,-19.5,stop,9.75,-1.0
2026-01-09 09:15:00-05:00,2026-01-09 09:20:00-05:00,long,25769.0,25759.25,25759.25,25795.8125,-9.75,-39.0,-19.5,stop,9.75,-1.0
2026-01-12 10:35:00-05:00,2026-01-12 10:40:00-05:00,long,25891.5,25881.75,25881.75,25918.3125,-9.75,-39.0,-19.5,stop,9.75,-1.0
2026-01-15 10:30:00-05:00,2026-01-15 10:35:00-05:00,long,25863.25,25890.0625,25853.5,25890.0625,26.8125,107.25,53.625,target,9.75,2.75
2026-01-16 10:10:00-05:00,2026-01-16 10:15:00-05:00,short,25755.0,25728.1875,25764.75,25728.1875,26.8125,107.25,53.625,target,9.75,2.75
