Date,Message
2026-01-16T16:55:00.000-05:00,"2026-01-08 01:15,25820,25827,25819.25,25824,969"
2026-01-16T16:55:00.000-05:00,"2026-01-08 01:20,25824.5,25836.5,25824,25836.25,1289"
2026-01-16T16:55:00.000-05:00,"2026-01-08 01:25,25836,25839,25833.5,25837.25,1222"
2026-01-16T16:55:00.000-05:00,"2026-01-08 01:30,25837.25,25837.75,25820.5,25823,1765"
2026-01-16T16:55:00.000-05:00,"2026-01-08 01:35,25823,25830.5,25821.25,25830,1280"
2026-01-16T16:55:00.000-05:00,"2026-01-08 01:40,25830,25837.25,25828,25834.5,903"
2026-01-16T16:55:00.000-05:00,"2026-01-08 01:45,25834.75,25839.5,25831,25838.25,1102"
2026-01-16T16:55:00.000-05:00,"2026-01-08 01:50,25838.25,25840.5,25831.5,25832.5,1079"
2026-01-16T16:55:00.000-05:00,"2026-01-08 01:55,25833.25,25839.5,25833.25,25837,680"
2026-01-16T16:55:00.000-05:00,"2026-01-08 02:00,25837.25,25839.75,25830.25,25834.25,1281"
2026-01-16T16:55:00.000-05:00,"2026-01-08 02:05,25835.25,25840.5,25833.5,25838.5,805"
2026-01-16T16:55:00.000-05:00,"2026-01-08 02:10,25839.25,25840.5,25826,25827.25,1110"
2026-01-16T16:55:00.000-05:00,"2026-01-08 02:15,25827,25833,25823.75,25825.25,999"
2026-01-16T16:55:00.000-05:00,"2026-01-08 02:20,25825,25826.25,25821,25822.5,1100"
2026-01-16T16:55:00.000-05:00,"2026-01-08 02:25,25822.25,25827.75,25822.25,25825,668"
2026-01-16T16:55:00.000-05:00,"2026-01-08 02:30,25825.5,25827,25818.75,25819,702"
2026-01-16T16:55:00.000-05:00,"2026-01-08 02:35,25819,25824.75,25810,25810.5,2006"
2026-01-16T16:55:00.000-05:00,"2026-01-08 02:40,25810.5,25811.25,25795.5,25798,3425"
2026-01-16T16:55:00.000-05:00,"2026-01-08 02:45,25798.75,25800.75,25773.75,25788,4315"
2026-01-16T16:55:00.000-05:00,"2026-01-08 02:50,25788.5,25793.75,25782.25,25786.25,1905"
